Spielzeit;DrehRichtung;Zahl;Geschwindigkeit;gr. Serie;kl. Serie;Orphelins;Im-/Pair;Kolonne;Manque / Passe
26.02.18 23:49;L;5;17;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 23:50;R;14;15;FALSCH;FALSCH;WAHR;2;2;1
26.02.18 23:51;L;32;16;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 23:53;R;4;16;WAHR;FALSCH;FALSCH;2;1;1
26.02.18 23:54;L;32;17;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 23:56;R;29;15;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 23:57;L;1;17;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 23:58;R;31;16;FALSCH;FALSCH;WAHR;1;1;2
27.02.18 00:00;L;0;16;WAHR;FALSCH;FALSCH;0;0;0
27.02.18 00:02;R;11;14;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 00:03;L;35;16;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 00:04;R;9;16;FALSCH;FALSCH;WAHR;1;3;1
27.02.18 00:05;L;31;16;FALSCH;FALSCH;WAHR;1;1;2
27.02.18 00:06;R;20;15;FALSCH;FALSCH;WAHR;2;2;2
27.02.18 00:07;L;20;16;FALSCH;FALSCH;WAHR;2;2;2
27.02.18 00:08;R;19;16;WAHR;FALSCH;FALSCH;1;1;2
27.02.18 00:09;L;5;17;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 00:10;R;27;16;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 00:11;L;21;17;WAHR;FALSCH;FALSCH;1;3;2
27.02.18 00:13;R;31;16;FALSCH;FALSCH;WAHR;1;1;2
27.02.18 00:14;L;9;15;FALSCH;FALSCH;WAHR;1;3;1
27.02.18 00:15;R;23;14;FALSCH;WAHR;FALSCH;1;2;2
27.02.18 00:16;L;3;16;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 00:17;R;0;17;WAHR;FALSCH;FALSCH;0;0;0
27.02.18 00:19;L;16;19;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 00:20;R;10;18;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 00:21;L;17;19;FALSCH;FALSCH;WAHR;1;2;1
27.02.18 00:22;R;36;17;FALSCH;WAHR;FALSCH;2;3;2
27.02.18 00:24;L;0;18;WAHR;FALSCH;FALSCH;0;0;0
27.02.18 00:25;R;6;18;FALSCH;FALSCH;WAHR;2;3;1
27.02.18 00:26;L;19;18;WAHR;FALSCH;FALSCH;1;1;2
27.02.18 00:28;R;11;18;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 00:29;L;26;17;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 00:30;R;33;17;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 00:32;L;10;17;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 00:33;R;17;15;FALSCH;FALSCH;WAHR;1;2;1
27.02.18 00:36;L;27;16;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 00:38;R;12;16;WAHR;FALSCH;FALSCH;2;3;1
27.02.18 00:39;L;31;17;FALSCH;FALSCH;WAHR;1;1;2
27.02.18 00:41;R;33;15;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 00:42;L;35;17;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 00:43;R;0;16;WAHR;FALSCH;FALSCH;0;0;0
27.02.18 00:45;L;32;17;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 00:46;R;31;14;FALSCH;FALSCH;WAHR;1;1;2
27.02.18 00:47;L;10;16;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 00:48;R;2;16;WAHR;FALSCH;FALSCH;2;2;1
27.02.18 00:49;L;34;16;FALSCH;FALSCH;WAHR;2;1;2
27.02.18 00:51;R;5;17;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 00:52;L;31;16;FALSCH;FALSCH;WAHR;1;1;2
27.02.18 00:53;R;34;17;FALSCH;FALSCH;WAHR;2;1;2
27.02.18 00:54;L;28;15;WAHR;FALSCH;FALSCH;2;1;2
27.02.18 00:55;R;34;15;FALSCH;FALSCH;WAHR;2;1;2
27.02.18 00:56;L;26;16;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 00:57;R;35;16;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 00:58;L;24;16;FALSCH;WAHR;FALSCH;2;3;2
27.02.18 00:59;R;32;16;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 01:00;L;10;17;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 01:01;R;6;18;FALSCH;FALSCH;WAHR;2;3;1
27.02.18 01:03;L;19;19;WAHR;FALSCH;FALSCH;1;1;2
27.02.18 01:04;R;0;19;WAHR;FALSCH;FALSCH;0;0;0
27.02.18 01:06;L;33;19;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 01:07;R;33;16;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 01:08;L;36;19;FALSCH;WAHR;FALSCH;2;3;2
27.02.18 01:10;R;17;17;FALSCH;FALSCH;WAHR;1;2;1
27.02.18 01:11;L;3;18;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 01:13;R;10;18;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 01:14;L;29;18;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 01:16;R;17;18;FALSCH;FALSCH;WAHR;1;2;1
27.02.18 01:17;L;25;18;WAHR;FALSCH;FALSCH;1;1;2
27.02.18 01:19;R;3;18;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 01:21;L;12;19;WAHR;FALSCH;FALSCH;2;3;1
27.02.18 01:22;R;3;17;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 01:24;L;16;17;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 01:25;R;32;17;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 01:27;L;10;18;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 01:29;R;16;17;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 01:30;L;3;18;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 01:32;R;24;16;FALSCH;WAHR;FALSCH;2;3;2
27.02.18 01:33;L;21;17;WAHR;FALSCH;FALSCH;1;3;2
27.02.18 01:34;R;12;16;WAHR;FALSCH;FALSCH;2;3;1
27.02.18 01:35;L;32;16;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 01:37;R;22;14;WAHR;FALSCH;FALSCH;2;1;2
27.02.18 01:38;L;13;16;FALSCH;WAHR;FALSCH;1;1;1
27.02.18 01:39;R;33;16;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 01:41;L;29;17;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 01:42;R;13;15;FALSCH;WAHR;FALSCH;1;1;1
27.02.18 01:44;L;1;16;FALSCH;FALSCH;WAHR;1;1;1
27.02.18 01:45;R;2;16;WAHR;FALSCH;FALSCH;2;2;1
27.02.18 01:46;L;36;18;FALSCH;WAHR;FALSCH;2;3;2
27.02.18 01:48;R;5;17;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 01:49;L;24;18;FALSCH;WAHR;FALSCH;2;3;2
27.02.18 01:50;R;33;17;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 01:52;L;9;17;FALSCH;FALSCH;WAHR;1;3;1
27.02.18 01:54;R;9;18;FALSCH;FALSCH;WAHR;1;3;1
27.02.18 01:55;L;17;18;FALSCH;FALSCH;WAHR;1;2;1
27.02.18 01:56;R;12;17;WAHR;FALSCH;FALSCH;2;3;1
27.02.18 01:58;L;33;17;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 01:59;R;35;16;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 02:00;L;19;18;WAHR;FALSCH;FALSCH;1;1;2
27.02.18 02:02;R;11;17;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 02:03;L;12;17;WAHR;FALSCH;FALSCH;2;3;1
27.02.18 02:05;R;8;16;FALSCH;WAHR;FALSCH;2;2;1
27.02.18 02:06;L;21;16;WAHR;FALSCH;FALSCH;1;3;2
27.02.18 02:07;R;16;16;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 02:09;L;19;16;WAHR;FALSCH;FALSCH;1;1;2
27.02.18 02:10;R;35;16;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 02:11;L;16;16;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 02:13;R;11;16;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 02:14;L;0;17;WAHR;FALSCH;FALSCH;0;0;0
27.02.18 02:16;R;27;16;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 02:17;L;11;17;FALSCH;WAHR;FALSCH;1;2;1
27.02.18 02:18;R;31;16;FALSCH;FALSCH;WAHR;1;1;2
27.02.18 02:20;L;9;17;FALSCH;FALSCH;WAHR;1;3;1
27.02.18 02:21;R;20;14;FALSCH;FALSCH;WAHR;2;2;2
27.02.18 02:23;L;10;17;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 02:24;R;34;16;FALSCH;FALSCH;WAHR;2;1;2
27.02.18 02:25;L;29;16;WAHR;FALSCH;FALSCH;1;2;2
27.02.18 02:27;R;36;16;FALSCH;WAHR;FALSCH;2;3;2
27.02.18 19:00;L;26;16;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 19:01;R;14;16;FALSCH;FALSCH;WAHR;2;2;1
27.02.18 19:02;L;15;16;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 19:04;R;4;17;WAHR;FALSCH;FALSCH;2;1;1
27.02.18 19:05;L;22;17;WAHR;FALSCH;FALSCH;2;1;2
27.02.18 19:07;R;16;15;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 19:08;L;27;17;FALSCH;WAHR;FALSCH;1;3;2
